time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,f,r
2001-09-07 14:00:00,25.96457208243441,26.03535621931205,26.01132862327415,20.491806490348925,10.17872585700941,30.348426998957734,1981.2885793373905,1744.6625833254723,1864.8417061798245,599.6803153856381,628.8363600811997,616.046382376103,26.334352490459324,26.424470895679466,26.362449792905046,26.0,26.0,26.0,30.730709009586338,30.639652633260585,48.85943834219008,36.64457875664256,17.20417056224046,27.098650828897956,0.0,15.0,10.936493303654533,4.100992633873841,27.90534718853438,29.440833333333334,17.523443341016016,3.752435955699284,9,0
2001-09-07 15:00:00,25.929557611951942,25.957600469473867,26.004581463656883,26.858104902320644,17.604386988762528,30.2156607350024,1914.017676645299,1736.7805201511271,1949.957244564287,597.6461986138928,618.5152613955772,596.2356524314138,25.239827408706685,25.342944163762517,25.115490147062175,26.0,26.0,26.0,33.53002276893216,33.7456151640355,49.00271442287869,36.752035817159005,17.04711023605208,27.246882974794378,0.0,15.0,10.051144545379323,5.448869973343761,28.226510458106638,30.0,16.38274272569493,3.8692447452078302,9,0
2001-09-07 16:00:00,25.879111281619476,25.86241558093192,25.954795899840168,37.90665027146274,33.127204642587245,36.42519686055955,1511.311029155857,1384.931293909656,1659.0807578293688,678.1341428378807,701.2290986118129,657.6983096836323,26.65989544888419,26.817658559625674,26.422978703836204,26.0,26.0,26.0,33.53002276893216,34.31001172044925,43.92478294783388,32.9435872108754,15.60384418166955,27.01381702685398,0.0,15.0,9.397610419260394,6.273138309709384,26.584378928773727,30.294999999999998,15.926983726714191,3.514668763813249,9,0
2001-09-07 17:00:00,25.884738751422518,25.86542251492185,25.933873955743056,44.699881519732806,41.35805118149525,42.106512553438,1122.3143435773572,1021.8818118891817,1280.7265874022353,792.5362737379567,826.4014881012304,749.6451707262895,28.49582231562976,28.700325206832456,28.19745402931928,26.0,26.0,26.0,29.52445249967038,30.318938925270057,31.5836273782221,23.68772053366658,14.041206624147994,27.00186595174908,0.0,15.0,9.077731988454135,6.173362307030991,24.804804038159897,30.59999999999997,15.463688894339187,3.0013794374683695,9,0
2001-09-07 18:00:00,25.90938683017834,25.895504113432914,25.93164563762896,48.34967112818352,45.46726054225992,46.341057332589976,829.8574039146821,753.2205111053,930.3775760956025,964.4958295451777,1012.4881792225501,908.0780029926069,31.34102164302486,31.56396633671135,31.083591129402667,26.0,26.0,26.0,22.483582492554238,22.811201607797543,24.22318854808143,18.167391411061054,12.624863138402466,26.57363363785155,2.0337833495075994,15.0,8.969470334215421,5.164244147562267,23.226518496854574,29.223333333333336,16.956876715580883,2.3768082341306203,9,0
2001-09-07 19:00:00,25.932945392649128,25.92534877493794,25.93863663363735,50.739563371849144,47.865086789900666,49.64269972892238,640.665577116248,586.9702436137,689.1103365961574,1074.187191443218,1133.8535973751773,1020.60041474967,33.92347763308232,34.18334181097157,33.7148335807084,26.0,26.0,26.0,17.08714720571155,17.217835230258693,20.35715592298015,15.267866942235113,11.768438374466188,26.014493135617652,34.79359222655594,15.0,9.337134518175448,3.451772953180867,22.29147033929599,26.423333333333336,20.43409374774918,1.8542515290774602,9,0
2001-09-07 20:00:00,25.961108508423646,25.95812829876615,25.963187256645526,51.16631575571912,48.139083181653746,50.22529145224759,543.6908820032235,502.6845087744539,580.1733591278085,935.5002382388825,984.3071648474407,898.1719942334632,33.56904993439953,33.8581101323225,33.34457003119935,26.0,26.0,26.0,13.035567783332331,13.013057294941149,18.66429796999068,13.998223477493012,11.807966300201095,25.56901613699297,48.39780537043615,15.0,12.38240140549954,1.4325506400120807,21.730511050978805,24.705,22.85572353554866,1.5198101549102487,9,0
2001-09-07 21:00:00,26.00920917676221,26.013237779903857,26.00997596438953,46.97020598237883,43.203144435384466,46.08132085300597,582.6200129405241,544.8871818368651,621.2867555627647,943.7033716000361,985.2364848989213,909.7892309251635,33.597425034838686,33.83280871575553,33.38749928170676,26.0,26.0,26.0,9.940908608240965,9.940760588683904,19.061139078782652,14.295854309086986,14.727600780481366,25.06677842419618,43.49378322003228,15.0,19.43632301822902,0.4232942593139914,21.48048817327298,22.777499999999996,25.713781649805572,1.2287320844925749,9,0
2001-09-07 22:00:00,26.004013668274972,26.009893406577156,26.00469868710009,47.1815053609374,42.924967749780286,46.25839420759857,503.67213199256076,480.75501870703766,537.9696032022708,997.1572355745634,1030.0510757522022,960.6388545456178,34.35003853745912,34.51782545899652,34.12609314051882,26.0,26.0,26.0,7.570241607251601,7.585362822087129,17.90440402539087,13.428303019043158,15.158880511010159,24.31400936992101,46.92617160287862,15.289999999999996,19.976071186343116,0.3125689396176073,21.132139932386554,20.55916666666667,29.40059182975502,0.9481271254760305,9,0
2001-09-07 23:00:00,25.970924810971415,25.974352142159713,25.97346699797741,50.83261286045981,46.4875345144375,49.65451804718835,377.12777350603886,369.0536632969221,407.2969842519224,910.6406500482468,931.341420838319,873.2494354953513,35.86227950163444,35.96292713803465,35.609291587623005,26.0,26.0,26.0,5.753257194165911,5.929188647866469,16.417352202988493,12.313014152241369,15.828599480608336,24.1285760267822,44.70384652889661,16.040000000000006,20.486887024831294,0.2073038508227293,20.812414296602345,19.164166666666667,33.15312795048743,0.6512963971982785,9,0
2001-09-08 00:00:00,26.399515219925913,26.405899659188158,26.471156215613824,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,727.2651139835954,738.8384972690608,689.9323436544922,34.21012716389687,34.23523484603982,33.88263030034489,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,17.513333333333332,35.16235473543356,0.4701158902149381,9,0
2001-09-08 01:00:00,26.66840649936184,26.713464520418555,26.80493209869182,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,589.7483004116572,596.6481661762205,558.3119428884536,27.858059665669604,27.806766943969528,27.525063315006808,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,17.240833333333335,32.11158012971745,0.4701158902149381,9,0
2001-09-08 02:00:00,26.577033367829173,26.66429145349464,26.73098963984368,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,510.0160572291163,514.126646092883,486.4431713454632,23.987001662750217,23.87749081356308,23.703204495073933,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,17.505,30.349960213953757,0.4701158902149381,9,0
2001-09-08 03:00:00,26.313579739133477,26.456083271633744,26.46790628534769,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,463.78730572016525,466.23449179148855,447.20062009172733,21.73465095510483,21.56034386380212,21.496125481054897,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,16.41333333333333,32.5348950651796,0.4701158902149381,9,0
2001-09-08 04:00:00,25.903960584818492,26.121830102457697,26.052138739864066,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,436.98387738586405,438.43982148836966,425.7729847524907,20.621229279006002,20.361086539396013,20.415388179557745,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,14.469166666666668,35.88875172486228,0.4701158902149381,9,0
2001-09-08 05:00:00,25.420816925649923,25.72397589395741,25.560274283919206,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,421.44325067581934,422.30891845157333,414.0728393347639,19.755261884755814,19.40515444532822,19.57620379114679,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,13.840833333333332,34.8474087088881,0.4701158902149381,9,0
2001-09-08 06:00:00,25.1191823335767,25.428456607312807,25.20512174219919,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,412.43279591127407,412.9471944251754,407.68420145528324,18.850980950938272,18.51116546073961,18.74690183357807,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,14.154166666666667,33.1129514721186,0.4701158902149381,9,0
2001-09-08 07:00:00,25.33241412304707,25.323751374451714,25.116258579766008,55.99713449977309,51.99821323604693,54.42563118713665,263.3383093086592,262.87433936216263,292.18382583551244,407.2085345877944,407.51402825050315,404.1958094312577,18.04693374489976,18.065805103291797,18.281693589053308,26.0,26.0,26.0,5.081483394894543,5.234325945876657,15.275704323868693,11.456778242901505,16.27315214283786,24.706984314600724,30.273186944641044,16.399999999999984,21.130573533024766,0.1421938074575184,20.62265440417248,14.981666666666667,34.59550308799621,0.4701158902149381,9,0
2001-09-08 08:00:00,25.77932710179197,25.4188638082456,25.23528503790427,62.611479126824,66.23589646798479,66.96004916572866,326.9890533736209,190.3351406193715,225.32717488257003,597.8781660514063,603.6032017434469,599.9238698858658,27.07914129769977,27.689312969214356,27.864831277776734,26.0,26.0,26.0,18.39663405658159,19.689210058012176,15.618045875818318,11.713534406863737,15.536102876870112,24.97156101099313,2.8456625460936076,15.396666666666663,21.25068397320934,0.14104430768271317,22.058837540479605,18.312500000000004,30.865180917581895,0.47051816364482557,9,0
2001-09-08 09:00:00,26.005722147115545,25.783288618815206,25.65713424392898,45.15301718839388,50.14930010316646,53.036495825157836,741.9213233158564,471.76642335817274,519.561788634402,1041.953613674605,1195.6333713275824,1163.136611656965,34.66792873215276,36.18144467125675,36.13900270397677,26.0,26.0,26.0,14.367991001327994,13.965798303756142,19.259774828373647,14.444831121280233,16.12578945430284,25.05032095815318,27.920279862014137,15.79999999999998,20.568439127928727,0.33239046782780357,21.883741136997283,22.222500000000004,25.049719461596574,1.0513229321870627,9,0
2001-09-08 10:00:00,26.07859544683521,25.95806028711097,25.87404508833045,34.77256001053923,39.57769623032617,44.40046036208488,1002.9145811838494,701.7404080277701,762.5335411805032,711.0237255931202,877.9316998449647,833.8890931258522,30.151302122284992,31.53901687817443,31.36078086083943,26.0,26.0,26.0,12.939803668979986,12.668093355816607,23.153945480559944,17.365459110419952,15.94863216446789,25.703011897983036,41.72137877325307,15.400000000000007,19.106170633033287,0.5834496993547416,22.257057719804212,25.276666666666664,21.856726657287034,1.63883170442536,9,0
2001-09-08 11:00:00,26.07086147170114,26.01879548314213,25.960841040834847,30.787255774802965,33.76337845829411,40.203093760290024,1106.5500697691864,838.2197429858162,906.1214761844199,804.7226108235092,938.4444013180693,899.4897227178081,30.834007614001674,31.548472115575105,31.455291308426645,26.0,26.0,26.0,12.939803668979986,12.837939055664808,25.482789577513255,19.112092183134948,15.420233298035159,26.309928805049445,11.484045421618918,15.0,16.97381900642234,0.9071404034072096,22.519584916080408,27.240833333333335,19.889648980899107,2.108464199426661,9,0
2001-09-08 12:00:00,26.048582700102724,26.037302862086353,25.99788313012419,29.608377530619542,30.24635470016468,37.64818672810455,1130.8945218104486,906.836431483545,987.3210568329076,825.0539778666414,941.0710237329845,897.9631866952765,30.82611935287023,31.356314293242445,31.218831322657433,26.0,26.0,26.0,12.939803668979986,12.819273028278191,26.613212742574003,19.959909556930505,15.307196435095346,26.516005659693818,0.44966918512615023,15.0,15.949090997253187,1.1012165662683033,22.669906506352905,28.045833333333338,18.568768719405526,2.301876330655847,9,0
